"OriginalName" "TidyName"
"50" "fBodyAccJerk-std()-X" "FrequencyBodyAccuracyJerkStandardDeviationX"
"51" "fBodyAccJerk-std()-Y" "FrequencyBodyAccuracyJerkStandardDeviationY"
"52" "fBodyAccJerk-std()-Z" "FrequencyBodyAccuracyJerkStandardDeviationZ"
"53" "fBodyGyro-mean()-X" "FrequencyBodyGyroscopeMeanX"
"54" "fBodyGyro-mean()-Y" "FrequencyBodyGyroscopeMeanY"
"55" "fBodyGyro-mean()-Z" "FrequencyBodyGyroscopeMeanZ"
"56" "fBodyGyro-std()-X" "FrequencyBodyGyroscopeStandardDeviationX"
"57" "fBodyGyro-std()-Y" "FrequencyBodyGyroscopeStandardDeviationY"
"58" "fBodyGyro-std()-Z" "FrequencyBodyGyroscopeStandardDeviationZ"
"59" "fBodyAccMag-mean()" "FrequencyBodyAccuracyMagnitudeMean"
"60" "fBodyAccMag-std()" "FrequencyBodyAccuracyMagnitudeStandardDeviation"
"61" "fBodyBodyAccJerkMag-mean()" "FrequencyBodyAccuracyJerkMagnitudeMean"
"62" "fBodyBodyAccJerkMag-std()" "FrequencyBodyAccuracyJerkMagnitudeStandardDeviation"
"63" "fBodyBodyGyroMag-mean()" "FrequencyBodyGyroscopeMagnitudeMean"
"64" "fBodyBodyGyroMag-std()" "FrequencyBodyGyroscopeMagnitudeStandardDeviation"
"65" "fBodyBodyGyroJerkMag-mean()" "FrequencyBodyGyroscopeJerkMagnitudeMean"
"66" "fBodyBodyGyroJerkMag-std()" "FrequencyBodyGyroscopeJerkMagnitudeStandardDeviation"
